hand,status,position,action
AA,OPENING_PLAYER,UTG,R
AA,OPENING_PLAYER,MP,R
AA,OPENING_PLAYER,CO,R
AA,OPENING_PLAYER,BUTTON,R
AA,1-2_LIMPERS,MP,R
AA,1-2_LIMPERS,CO,R
AA,1-2_LIMPERS,BUTTON,R
AA,FACING_A_RAISE,MP,R
AA,FACING_A_RAISE,CO,R
AA,FACING_A_RAISE,BUTTON,R
AA,FACING_A_3-BET,CO,R
AA,FACING_A_3-BET,BUTTON,R
KK,OPENING_PLAYER,UTG,R
KK,OPENING_PLAYER,MP,R
KK,OPENING_PLAYER,CO,R
KK,OPENING_PLAYER,BUTTON,R
KK,1-2_LIMPERS,MP,R
KK,1-2_LIMPERS,CO,R
KK,1-2_LIMPERS,BUTTON,R
KK,FACING_A_RAISE,MP,R
KK,FACING_A_RAISE,CO,R
KK,FACING_A_RAISE,BUTTON,R
KK,FACING_A_3-BET,CO,R
KK,FACING_A_3-BET,BUTTON,R
QQ,OPENING_PLAYER,UTG,R
QQ,OPENING_PLAYER,MP,R
QQ,OPENING_PLAYER,CO,R
QQ,OPENING_PLAYER,BUTTON,R
QQ,1-2_LIMPERS,MP,R
QQ,1-2_LIMPERS,CO,R
QQ,1-2_LIMPERS,BUTTON,R
QQ,FACING_A_RAISE,MP,R
QQ,FACING_A_RAISE,CO,R
QQ,FACING_A_RAISE,BUTTON,R
QQ,FACING_A_3-BET,CO,R
QQ,FACING_A_3-BET,BUTTON,R
JJ,OPENING_PLAYER,UTG,R
JJ,OPENING_PLAYER,MP,R
JJ,OPENING_PLAYER,CO,R
JJ,OPENING_PLAYER,BUTTON,R
JJ,1-2_LIMPERS,MP,R
JJ,1-2_LIMPERS,CO,R
JJ,1-2_LIMPERS,BUTTON,R
JJ,FACING_A_RAISE,MP,R
JJ,FACING_A_RAISE,CO,R
JJ,FACING_A_RAISE,BUTTON,R
JJ,FACING_A_3-BET,CO,R
JJ,FACING_A_3-BET,BUTTON,R
TT,OPENING_PLAYER,UTG,R
TT,OPENING_PLAYER,MP,R
TT,OPENING_PLAYER,CO,R
TT,OPENING_PLAYER,BUTTON,R
TT,1-2_LIMPERS,MP,R
TT,1-2_LIMPERS,CO,R
TT,1-2_LIMPERS,BUTTON,R
TT,FACING_A_RAISE,MP,R
TT,FACING_A_RAISE,CO,R
TT,FACING_A_RAISE,BUTTON,R
TT,FACING_A_3-BET,CO,F
TT,FACING_A_3-BET,BUTTON,F
99,OPENING_PLAYER,UTG,R
99,OPENING_PLAYER,MP,R
99,OPENING_PLAYER,CO,R
99,OPENING_PLAYER,BUTTON,R
99,1-2_LIMPERS,MP,R
99,1-2_LIMPERS,CO,R
99,1-2_LIMPERS,BUTTON,R
99,FACING_A_RAISE,MP,R
99,FACING_A_RAISE,CO,R
99,FACING_A_RAISE,BUTTON,R
99,FACING_A_3-BET,CO,F
99,FACING_A_3-BET,BUTTON,F
88,OPENING_PLAYER,UTG,R
88,OPENING_PLAYER,MP,R
88,OPENING_PLAYER,CO,R
88,OPENING_PLAYER,BUTTON,R
88,1-2_LIMPERS,MP,R
88,1-2_LIMPERS,CO,R
88,1-2_LIMPERS,BUTTON,R
88,FACING_A_RAISE,MP,RF
88,FACING_A_RAISE,CO,RF
88,FACING_A_RAISE,BUTTON,R
88,FACING_A_3-BET,CO,F
88,FACING_A_3-BET,BUTTON,F
77,OPENING_PLAYER,UTG,R
77,OPENING_PLAYER,MP,R
77,OPENING_PLAYER,CO,R
77,OPENING_PLAYER,BUTTON,R
77,1-2_LIMPERS,MP,R
77,1-2_LIMPERS,CO,R
77,1-2_LIMPERS,BUTTON,R
77,FACING_A_RAISE,MP,RF
77,FACING_A_RAISE,CO,RF
77,FACING_A_RAISE,BUTTON,R
77,FACING_A_3-BET,CO,F
77,FACING_A_3-BET,BUTTON,F
66,OPENING_PLAYER,UTG,F
66,OPENING_PLAYER,MP,R
66,OPENING_PLAYER,CO,R
66,OPENING_PLAYER,BUTTON,R
66,1-2_LIMPERS,MP,C
66,1-2_LIMPERS,CO,C
66,1-2_LIMPERS,BUTTON,C
66,FACING_A_RAISE,MP,F
66,FACING_A_RAISE,CO,F
66,FACING_A_RAISE,BUTTON,C2
66,FACING_A_3-BET,CO,F
66,FACING_A_3-BET,BUTTON,F
55,OPENING_PLAYER,UTG,F
55,OPENING_PLAYER,MP,R
55,OPENING_PLAYER,CO,R
55,OPENING_PLAYER,BUTTON,R
55,1-2_LIMPERS,MP,C
55,1-2_LIMPERS,CO,C
55,1-2_LIMPERS,BUTTON,C
55,FACING_A_RAISE,MP,F
55,FACING_A_RAISE,CO,F
55,FACING_A_RAISE,BUTTON,C2
55,FACING_A_3-BET,CO,F
55,FACING_A_3-BET,BUTTON,F
44,OPENING_PLAYER,UTG,F
44,OPENING_PLAYER,MP,R
44,OPENING_PLAYER,CO,R
44,OPENING_PLAYER,BUTTON,R
44,1-2_LIMPERS,MP,C
44,1-2_LIMPERS,CO,C
44,1-2_LIMPERS,BUTTON,C
44,FACING_A_RAISE,MP,F
44,FACING_A_RAISE,CO,F
44,FACING_A_RAISE,BUTTON,C2
44,FACING_A_3-BET,CO,F
44,FACING_A_3-BET,BUTTON,F
33,OPENING_PLAYER,UTG,F
33,OPENING_PLAYER,MP,F
33,OPENING_PLAYER,CO,R
33,OPENING_PLAYER,BUTTON,R
33,1-2_LIMPERS,MP,C
33,1-2_LIMPERS,CO,C
33,1-2_LIMPERS,BUTTON,C
33,FACING_A_RAISE,MP,F
33,FACING_A_RAISE,CO,F
